name,evidence,condition,category,onetowatch,type,popularity,source,url,ignore,url of 2nd key study,key study source abstract (or summary notes),key study source abstract (or summary notes),key study source abstract (or summary notes),,,#,,,
fish oil / omega 3,2,child intelligence,"mental health, children",,compound,1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20171055,,http://www.ncbi.nlm.nih.gov/pubmed/12509593,"""This study investigated the effects of omega-3 supplementation in 450 children aged 8-10 years old from a mainstream school population, using a randomised, double-blind, placebo-controlled design. Participants were supplemented with either active supplements (containing docosahexaenoic acid, DHA and eicosapentaenoic acid, EPA) or a placebo for 16 weeks. Despite the wide range of cognitive and behavioural outcome measures employed, only three significant differences between groups were found after 16 weeks, one of which was in favour of the placebo condition. Exploring the associations between changes in fatty acid levels and changes in test and questionnaire scores also produced equivocal results."" Kirby et al (2010). PMID: 20171055.","""METHODS: Pregnant women were recruited in week 18 of pregnancy to take 10 mL of cod liver oil or corn oil until 3 months after delivery. A total of 590 pregnant women were recruited to the study, and 341 mothers took part in the study until giving birth. All infants of these women were scheduled for assessment of cognitive function at 6 and 9 months of age, and 262 complied with the request. As part of the protocol, 135 subjects from this population were invited for intelligence testing with the Kaufman Assessment Battery for Children (K-ABC) at 4 years of age. Of the 135 invited children, 90 came for assessment. Six children did not complete the examination. RESULTS: Children who were born to mothers who had taken cod liver oil (n = 48) during pregnancy and lactation scored higher on the Mental Processing Composite of the K-ABC at 4 years of age as compared with children whose mothers had taken corn oil. The children's mental processing scores at 4 years of age correlated significantly with maternal intake of DHA and eicosapentaenoic acid during pregnancy. In a multiple regression model, maternal intake of DHA during pregnancy was the only variable of statistical significance for the children's mental processing scores at 4 years of age. CONCLUSION: Maternal intake of very-long-chain n-3 PUFAs during pregnancy and lactation may be favorable for later mental development of children."" Helland et al (2003). PMID: 12509593.","""METHODS: The mothers took 10 mL of cod liver oil or corn oil from week 18 of pregnancy until 3 months after delivery. Their children were tested with the Kaufman Assessment Battery for Children at 7 years of age. RESULTS: We did not find any significant differences in scores on the Kaufman Assessment Battery for Children test at 7 years of age between children whose mothers had taken cod liver oil (n = 82) or corn oil (n = 61). We observed, however, that maternal plasma phospholipid concentrations of alpha-linolenic acid and docosahexaenoic acid during pregnancy were correlated to sequential processing at 7 years of age. CONCLUSION: This study suggests that maternal concentration of n-3 very-long-chain polyunsaturated fatty acids during pregnancy might be of importance for later cognitive function, such as sequential processing, although we observed no significant effect of n-3 fatty acid intervention on global IQs."" http://www.ncbi.nlm.nih.gov/pubmed/18676533",,,,,,
fish oil / omega 3,3.5," depression, mental illness",mental health,,compound,3.51,PubMed,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC533861/,,http://www.ncbi.nlm.nih.gov/pubmed/20925595,"""While far from robust, there is enough epidemiological, laboratory and clinical evidence to suggest that omega-3 fatty acids may play a role in certain cases of depression."" Logan (2004). 'Omega-3 fatty acids and major depression: A primer for the mental health professional.' Lipids Health Dis. 3, 25. PMCID: PMC533861.
","""Results. Ten articles - three longitudinal cohort studies, five randomized controlled trials and two pilot trials- that met selection criteria were reviewed. Six found no association, two found mixed results, and two found a positive association between omega-3 PUFAs and reduced incidence of maternal perinatal depression. Some of the larger studies and those that found a positive effect were more likely to be using higher doses, close to 2 g of docosahexaeonic acid (DHA)+ eicosapentaenoic acid (EPA), and began the supplementation earlier in pregnancy. Conclusions. Future RCTs to investigate the role of PUFA supplementation and risk for maternal perinatal depression should begin supplementation early in pregnancy and use a dosage closer to 2 g of DHA + EPA."" Wojcicki and Heyman (2011). PMID: 20925595.","""Epidemiological studies have demonstrated a positive association between omega-3 deficits and mood disorders. As for treatment, there is convincing evidence that add-on omega-3 fatty acids to standard antidepressant pharmacotherapy results in improved mood. There is no evidence that fatty acid monotherapy has a mood-elevating effect, with a possible exception for childhood depression."" http://www.ncbi.nlm.nih.gov/pubmed/19034351","""The aim of the current study was to provide an updated meta-analysis of all double-blind, placebo-controlled, randomized controlled trials examining the effect of omega3 LC-PUFA supplementation in which depressive symptoms were a reported outcome. The study also aimed to specifically test the differential effectiveness of EPA versus DHA through meta-regression and subgroup analyses. [...] Two hundred forty-one studies were identified, of which 28 met the above inclusion criteria and were therefore included in the subsequent meta-analysis. [...] The current meta-analysis provides evidence that EPA may be more efficacious than DHA in treating depression. However, owing to the identified limitations of the included studies, larger, well-designed, randomized controlled trials of sufficient duration are needed to confirm these findings."" Martins (2009). http://www.ncbi.nlm.nih.gov/pubmed/20439549","""From full text: """"There is growing evidence that suboptimal intakes of n-3 PUFA may be associated with psychopathology over the lifespan and include highly prevalent disorders that present a growing public health concern. Most clinical trials have been conducted with major depressive illness in adulthood and in childhood disorders; there are growing numbers of interventions with cognitive decline in older adulthood. Although the causes of these mental health problems are complex and multifactorial, even from a nutritional perspective alone, dietary and lifestyle factors including n-3 PUFA present modifiable risk factors that can be accessed relatively easily by individuals. However, findings of clinical trials have been inconsistent and in many cases inconclusive; methodological differences between studies need to be critically evaluated before drawing conclusions about the efficacy or otherwise of n-3 PUFA in alleviating symptoms"""" Sinn et al (2010). 'Oiling the Brain: A Review of Randomized Controlled Trials of Omega-3 Fatty Acids in Psychopathology across the Lifespan.' Nutrients 2/2,128-70. http://www.mdpi.com/2072-6643/2/2/128/pdf","""Epidemiological studies indicate an association between depression and low dietary intake of omega-3 fatty acids, and biochemical studies have shown reduced levels of omega-3 fatty acids in red blood cell membranes in both depressive and schizophrenic patients. Five of six double-blind, placebo-controlled trials in schizophrenia, and four of six such trials in depression, have reported therapeutic benefit from omega-3 fatty acids in either the primary or secondary statistical analysis, particularly when EPA is added on to existing psychotropic medication. [...] . The evidence to date supports the adjunctive use of omega-3 fatty acids in the management of treatment unresponsive depression and schizophrenia. [...] However, as the clinical research evidence is preliminary, large, and definitive randomised controlled trials similar to those required for the licensing of any new pharmacological treatment are needed."" Peet and Stokes (2005). http://www.ncbi.nlm.nih.gov/pubmed/15907142.","""Some positive benefits were found for depressive symptoms "" http://www.cochrane.org/reviews/en/ab005169.html",,
fish oil / omega 3,1,"Alzheimer's, dementia",mental health,,compound,1.64,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17030655,,http://www.ncbi.nlm.nih.gov/pubmed/18573585,"""One hundred seventy-four patients fulfilled the trial. At baseline, mean values for the Clinical Dementia Rating Scale, MMSE [Mini Mental State Examination], and cognitive portion of the Alzheimer Disease Assessment Scale in the 2 randomized groups were similar. At 6 months, the decline in cognitive functions as assessed by the latter 2 scales did not differ between the groups. However, in a subgroup (n = 32) with very mild cognitive dysfunction, a significant reduction in MMSE decline rate was observed in the omega-3 fatty acid-treated group compared with the placebo group. A similar arrest in decline rate was observed between 6 and 12 months in this placebo subgroup when receiving omega-3 fatty acid supplementation. CONCLUSION: Administration of omega-3 fatty acid in patients with mild to moderate AD did not delay the rate of cognitive decline [...]. However, positive effects were observed in a small group of patients with very mild AD."" Freund-Levy et al (2006). PMID: 17030655.","In a double-blinded placebo-controlled study of 23 participants, ""There was no significant difference in the cognitive portion of the Alzheimer's Disease Assessment Scale (ADAS-cog) change during follow-up in these two groups. However, the omega-3 fatty acids group showed significant improvement in ADAS-cog compared to the placebo group in participants with mild cognitive impairment, which was not observed in those with Alzheimer's disease."" Chiu et al (2008). PMID: 18573585. ","""There is no evidence that dietary or supplemental omega 3 polyunsaturated fatty acid (PUFA) reduces the risk of cognitive impairment or dementia in healthy elderly persons without pre-existing dementia"". http://www.cochrane.org/reviews/en/ab005379.html","In a double-blinded, placebo-controlled study of 295 participants with AD, using DHA only, ""Supplementation with DHA compared with placebo did not slow the rate of cognitive and functional decline in patients with mild to moderate Alzheimer disease."" http://www.ncbi.nlm.nih.gov/pubmed/21045096",,,,,
fish oil / omega 3,0,"Crohn's disease, asthma, diabetes","digestion, diabetes, general health",,compound,1,Cochrane,http://www.cochrane.org/reviews/en/ab006320.html,,http://www.cochrane.org/reviews/en/ab003205.html,"""Omega 3 fatty acids are safe but probably ineffective for maintenance of remission in CD. The existing data do not support routine maintenance treatment of Crohn's disease with omega 3 fatty acids."" Turner et al (2009). 'Omega 3 fatty acids (fish oil) for maintenance of remission in Crohn's disease. Cochrane Database of Systematic Reviews 1. CD006320.","""No significant change in or total or HDL cholesterol, HbA1c, fasting glucose, fasting insulin or body weight was observed."" ",,,,#,,,
flaxseed oil,1,breast cancer,"cancer, women",,plant / herb,0.571,Clinical Cancer Research,http://clincancerres.aacrjournals.org/content/11/10/3828.abstract,,,"Examination of effects of dietary flaxseed on tumor biological markers and urinary lignan excretion in 32 postmenopausal patients with newly diagnosed breast cancer in a randomized double-blind placebo-controlled clinical trial, showed that it has the potential to reduce tumor growth. Thompson et al (2005). 'Dietary Flaxseed Alters Tumor Biological Markers in Postmenopausal Breast Cancer', Clin. Cancer Res. 11, 3828.",,,,,#,,,
folic acid,5,certain birth defects,children,,vitamin,10.5,Cochrane Review,http://onlinelibrary.wiley.com/o/cochrane/clsysrev/articles/CD007950/frame.html,,http://www.ncbi.nlm.nih.gov/pubmed/7619926,"Plain language summary: ""This review confirms that folic acid supplementation prevents the first and second time occurrence of NTDs (neural tube defects) and shows there is not enough evidence to determine if folic acid prevents other birth defects. Information about the safety of other current and alternative supplementation schemes and any possible effects on other outcomes for mothers and babies is also lacking. This review of five trials, involving 6105 women (1949 with a history of a pregnancy affected by a NTD and 4156 with no history of NTDs), shows the protective effect of daily folic acid supplementation in doses ranging from 0.36 mg (360 µg) to 4 mg (4000 µg) a day, with and without other vitamins and minerals, before conception and up to 12 weeks of pregnancy, for preventing the recurrence of these diseases. There were insufficient data to evaluate the effects on other outcomes such as cleft lip and palate. More research is needed on different types of supplementation programmes and the use of different types of supplements (such as 5-methyl-tetrahydrofolate -5-MTHF), particularly in countries where folic acid fortification of staple foods like wheat or maize flour is not mandatory and where the prevalence of NTDs is still high."" De-Regil LM, Fernández-Gaxiola AC, Dowswell T, Peña-Rosas JP. Effects and safety of periconceptional folate supplementation for preventing birth defects. Cochrane Database of Systematic Reviews 2010, Issue 10. Art. No.: CD007950. DOI: 10.1002/14651858.CD007950.pub2.","With a case-control study, we investigated whether periconceptional intake of supplemental or dietary folate reduced the risk of having a neural tube defect (NTD)-affected pregnancy. Mothers of 549 (88% of eligible) cases and 540 (88%) controls were interviewed in person about vitamin supplements used in either the 3 months before or the 3 months after conception and also about usual diet in the 3 months before conception. Women with any use of a folic acid-containing vitamin in the 3 months before conception had a lower risk of having an NTD-affected pregnancy. Any level of use in the first 3 months after conception resulted in a lowered risk as well. Reduced risks were less marked for Hispanics and were not observed among women who graduated from college. Modest reduced risks were noted among non-vitamin users whose estimated daily dietary intake of folate was more than 0.227 mg. We observed decreasing risk with increasing folate intake from combined dietary sources and vitamin supplements. A reduction in NTD risk associated with folate intake is consistent with other studies; however, the reduced risk may be particular to subsets of the population, primarily non-Hispanic women and women whose education does not exceed high school. Shaw et al (1995). 'Periconceptional vitamin use, dietary folate, and the occurrence of neural tube defects'. Epidemiology 6/3, 219–26. PMID 7619926.","Mulinare et al (1988). 'Periconceptional use of multivitamins and the occurrence of neural tube defects.' Journal of the American Medical Association 260/21, 3141–45. PMID 3184392. ","ilunsky et al (1989). 'Multivitamin/folic acid supplementation in early pregnancy reduces the prevalence of neural tube defects.' Journal of the American Medical Association 262/20, 2847–52. PMID 2478730.",,#,,,
GABA,2,"stress, anxiety",mental health,,compound,1.85,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16971751,,,"In two studies of 13 and 8 subjects respectively, ""The effect of orally administrated gamma-aminobutyric acid (GABA) on relaxation and immunity during stress has been investigated in humans. In conclusion, GABA could work effectively as a natural relaxant and its effects could be seen within 1 hour of its administration to induce relaxation and diminish anxiety. Moreover, GABA administration could enhance immunity under stress conditions."" Abdou et al (2006). PMID: 16971751.",,,,,,,,
garlic,1,cancer,cancer,,plant / herb,1,,http://jn.nutrition.org/cgi/content/full/136/3/816S,,,"In a randomized double-blind trial, administration of aged garlic extract to 50 patients with advanced cancer of the digestive system improved natural-killer cell activity, but caused no improvement in quality of life. Ishikawa et al (2006). 'Aged Garlic Extract Prevents a Decline of NK Cell Number and Activity in Patients with Advanced Cancer', J. Nutr. 136, 816-20S.",,,,,#,,,
garlic,5,blood pressure,cardio,,plant / herb,4.81,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18554422,,http://www.ncbi.nlm.nih.gov/pubmed/20594781,"""RESULTS: Eleven of 25 studies included in the systematic review were suitable for meta-analysis. Meta-analysis of all studies showed a mean decrease for SBP in the garlic group compared to placebo. Regression analysis revealed a significant association between blood pressure at the start of the intervention and the level of blood pressure reduction. CONCLUSION: Our meta-analysis suggests that garlic preparations are superior to placebo in reducing blood pressure in individuals with hypertension."" Ried et al (2008). PMID: 18554422.","""DESIGN: A double-blind parallel randomised placebo-controlled trial involving 50 patients whose routine clinical records in general practice documented treated but uncontrolled hypertension. CONCLUSION: Our trial suggests that aged garlic extract is superior to placebo in lowering systolic blood pressure similarly to current first line medications in patients with treated but uncontrolled hypertension.""",,,,,,,
ginger,3,nausea and vomiting,digestion,,plant / herb,2.66,PubMed,http://www.medicine.ox.ac.uk/bandolier/booth/alternat/AT128.html,,http://www.mat.or.th/journal/files/Vol90_No.9_1703_5990.pdf,"""We have performed a systematic review of the evidence from randomized controlled trials for or against the efficacy of ginger for nausea and vomiting. Six studies met all inclusion criteria and were reviewed. Three on postoperative nausea and vomiting were identified and two of these suggested that ginger was superior to placebo and equally effective as metoclopramide. The pooled absolute risk reduction for the incidence of postoperative nausea, however, indicated a non-significant difference between the ginger and placebo groups for ginger 1 g taken before operation. One study was found for each of the following conditions: seasickness, morning sickness and chemotherapy-induced nausea. These studies collectively favoured ginger over placebo. [...] In summary, we found that ginger is a promising anti-emetic herbal remedy, but the clinical data to date are insufficient to draw firm conclusions. Further rigorous studies are needed to establish whether ginger is efficacious for clinical nausea and vomiting."" Ernst and Pittler (2000). 'Efficacy of ginger for nausea and vomiting: a systematic review of randomised clinical trials.' British Journal of Anaesthesia 84/3, 367-67. http://bja.oxfordjournals.org/cgi/reprint/84/3/367.pdf; http://www.ncbi.nlm.nih.gov/pubmed/10793599","""Conclusion: From the presented data, ginger is as effective as dimenhydrinate in the treatment of nausea and vomiting during pregnancy and has fewer side effects."" ","""CONCLUSIONS: Ginger provides no additional benefit for reduction of the prevalence or severity of acute or delayed CINV  (chemotherapy-induced nausea and vomiting) when given with 5-HT3 receptor antagonists and/or aprepitant."" http://www.ncbi.nlm.nih.gov/pubmed/19005687",,,,,,
gingko biloba,1,dementia,mental health,,plant / herb,0.712,,http://www.ncbi.nlm.nih.gov/pubmed/20040554,,,"""CONCLUSION: Compared with placebo, the use of G. biloba, 120 mg twice daily, did not result in less cognitive decline in older adults with normal cognition or with mild cognitive impairment."" Snitz et al (2009). PMID: 20040554.",The effect of ginkgo extract was observed on 45 patients pulmonary interstitial fibrosis showed that occurrence of pulmonary infection was less in ginkgo treated group than that in the control group Ginkgo is effective in treating pulmonary interstitial fibrosis. [Article in Chinese] He 2005,"A randomized double-blind, monocenter study with 66 healthy elderly subjects was carried out to investigate the short-term effect of special ginkgo extract EGb 761 & the results suggest a positive effect of EGb 761 on subjective emotional well-being of healthy elderly persons. [Article in German] Cieza 2003","A double-blind study with placebo and Ginkgo biloba in 48 men aged 60 -70 showed a reduction in blood viscosity, improved cerebral perfusion in specific areas and improved global cognitive functioning. Santos 2003","Placebo-controlled, randomized, double-blind trial with 40 moderate dementia patients found that Ginkgo EGb 4 days per week for 4 weeks improved condition [Article in German] Haase 1996",#,,,
ginseng,2,cognitive performance,mental health,,plant / herb,2.12,,http://jop.sagepub.com/cgi/content/abstract/19/4/357,,,"Panax ginseng improved performance and subjective feelings of mental fatigue during sustained mental activity in 30 healthy young adults and this effect may be related to the acute gluco-regulatory properties of the extract. Reay et al (2005). 'Single doses of Panax ginseng (G115) reduce blood glucose levels and improve cognitive performance during sustained mental activity'. J. Psychopharmacol. 19/4, 357-65.","In a double-blind study cognitive & mood effects of 75 mg of extract of guarana (12% caffeine), 200 mg of Panax ginseng (G115), & their combination (75 mg/200 mg), were assessed in 28 healthy volunteers which showed that both ginseng & ginseng/guarana combination enhanced speed of memory task. Kennedy 2004","Right cerebral blood flow, TCD and CT improved in 96% of 202 patients given Nao Li Shen (ginseng, gastrodia tuber, chuanxiong rhizome and red sage root) Lu 1997","Antibody titre after flu vaccination was increased from 171 to 272 and number of flu cases dropped from 42 to 15 in the group taking 100 mg Ginsana for 12 weeks in a randomized, placebo-controlled, double-blind investigation of 227 people Scaglione 1996","Exercise work load and maximal oxygen consumption were increased by ginseng in a double-blind, crossover study with 50 men taking, for 6 weeks, a preparation of ginseng extract, dimethylaminoethanol bitartrate, vitamins, minerals, and trace elements Pieralisi 1991",#,,,
glucos-amine,1,"arthritis, joint pain",musculoskeletal,,compound,6.37,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20847017,,http://www.ncbi.nlm.nih.gov/pubmed/19903416,"""OBJECTIVE: To determine the effect of glucosamine, chondroitin, or the two in combination on joint pain and on radiological progression of disease in osteoarthritis of the hip or knee. Results: 10 trials in 3803 patients were included. Conclusions: Compared with placebo, glucosamine, chondroitin, and their combination do not reduce joint pain or have an impact on narrowing of joint space. Health authorities and health insurers should not cover the costs of these preparations, and new prescriptions to patients who have not received treatment should be discouraged."" Wandel et al (2010). PMID: 20847017.","""CONCLUSIONS: There was evidence that glucosamine sulphate shows some clinical effectiveness in the treatment of osteoarthritis of the knee. No trial data came from the UK and caution should be exercised in generalising the findings to the UK health-care setting. Cost-effectiveness was not conclusively demonstrated. There was evidence to support the potential clinical impact of glucosamine sulphate. The value of information analysis identified three research priorities: QoL, structural outcomes and knee arthroplasty. The biological mechanism of glucosamine sulphate and chondroitin remains uncertain and, in particular, the proposal that the active substance may be sulphate should be explored further.""","""Design, Setting, and Participants: A double-blind, randomized, placebo-controlled trial conducted at Oslo University Hospital Outpatient Clinic, Oslo, Norway, with 250 patients older than 25 years of age with chronic low back pain (LBP) (>6 months) and degenerative lumbar osteoarthritis (OA). Conclusions:  Among patients with chronic LBP and degenerative lumbar OA, 6-month treatment with oral glucosamine compared with placebo did not result in reduced pain-related disability after the 6-month intervention and after 1-year follow-up."" http://jama.ama-assn.org/cgi/content/abstract/304/1/45?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=Effect+of+Glucosamine+on+Pain-Related+Disability+in+Patients+With+Chronic+Low+Back+Pain+and+Degenerative+Lumbar+Osteoarthritis:+A+Randomized+Controlled+Trial&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT
","""Objective: This study was undertaken to evaluate the effect of glucosamine and chondroitin sulfate (CS), alone or in combination, as well as celecoxib and placebo on progressive loss of joint space width (JSW) in patients with knee OA. Conclusion: At 2 years, no treatment achieved a predefined threshold of clinically important difference in JSW loss as compared with placebo. However, knees with K/L grade 2 radiographic OA appeared to have the greatest potential for modification by these treatments."" http://www3.interscience.wiley.com/journal/121425887/abstract","""Pain: The high quality studies showed that pain improved about the same whether people took glucosamine or fake pills. If all of the studies are examined (including low quality and old studies), then glucosamine improved pain more than fake pills. People who took fake pills had a pain score of 7 points on a 0 to 100 scale. Pain may improve by 10 more points with glucosamine than with fake pills.  Studies testing only the Rotta brand of glucosamine (including low quality and older studies) showed that glucosamine improved pain more than fake pills. People who took fake pills had a pain score of 6 points on a 0 to 20 scale. People who took the Rotta brand of glucosamine rated their pain 3 points lower than people who did not take glucosamine. Function: The high quality studies show that glucosamine improved function more than fake pills when measured by one type of scale, but improved the same amount as fake pills when measured by another scale. Studies testing only the Rotta brand of glucosamine (including low quality and older studies) showed that glucosamine improved function more than fake pills. People who took fake pills had a function score of 22 points on a 0 to 68 scale. People who took the Rotta brand of glucosamine had their ability to function improve by 2 points compared to people who did not take glucosamine."" http://www2.cochrane.org/reviews/en/ab002946.html",,,,
goji (wolfberry),1,eye health,general health,,plant / herb,1.72,,http://www.ncbi.nlm.nih.gov/pubmed/15604618,,http://www.ncbi.nlm.nih.gov/pubmed/15705234,"""Epidemiological studies provide some evidence that an increased consumption of lutein and zeaxanthin with the diet is associated with a lowered risk for age-related macular degeneration, a disease with increasing incidence in the elderly."" Stahl (2005). PMID: 15604618.","""The aim of this study, which was a single-blinded, placebo-controlled, human intervention trial of parallel design, was to provide data on how fasting plasma zeaxanthin concentration changes as a result of dietary supplementation with whole wolfberries. [...] After supplementation, plasma zeaxanthin increased 2.5-fold. [...] This human supplementation trial shows that zeaxanthin in whole wolfberries is bioavailable and that intake of a modest daily amount markedly increases fasting plasma zeaxanthin levels. These new data will support further study of dietary strategies to maintain macular pigment density."" Cheng et al (2005). PMID: 15705234.",,,,#,,,
grape seed extract,0,"wound healing, swelling",pain,,plant / herb,0.39,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16546280,,,"""PATIENTS AND METHODS: Sixty-six eligible research volunteers with moderate or marked breast induration at a mean 10.8 years since radiotherapy for early breast cancer were randomised to active drug (n = 44) or placebo (n = 22). All patients were given grape seed proanthocyanidin extract (GSPE) 100 mg three times a day orally, or corresponding placebo capsules, for 6 months. RESULTS: At 12 months post-randomisation, there was no significant difference between treatment and control groups in terms of external assessments of tissue hardness, breast appearance or patient self-assessments of breast hardness, pain or tenderness. CONCLUSIONS: The study failed to show efficacy of orally-administered GSPE in patients with breast induration following radiotherapy for breast cancer."" Brooker et al (2006). PMID: 16546280.",,,,,,,,
grapefruit seed extract,0,"antibiotic, antifungal",infections,,plant / herb,0.609,PubMed,,,,no human trials,,,,,,,,
green tea,3,cancer,cancer,,plant / herb,26.1,Cochrane review,http://www.cochrane.org/reviews/en/ab005004.html,,,"Plain language summary: ""Fifty-one studies with more than 1.6 million participants, mainly of observational nature were included in this systematic review. Studies looked for an association between green tea consumption and cancer of the digestive tract, gynecological cancer including breast cancer, urological cancer including prostate cancer, lung cancer and cancer of the oral cavity. The majority of included studies were of medium to high methodological quality. The evidence that the consumption of green tea might reduce the risk of cancer was conflicting. This means, that drinking green tea remains unproven in cancer prevention, but appears to be safe at moderate, regular and habitual use."" Boehm et al (2009). 'Green tea (Camellia sinensis) for the prevention of cancer', Cochrane Database of Systematic Reviews, Issue 3.",,,,,#,,,
green tea,4,cholesterol,cardio,,plant / herb,26.1,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/11897173,, http://www.ncbi.nlm.nih.gov/pubmed/12824094,"""Consumption of green tea was associated with lower serum concentration of total cholesterol in [13,916] Japanese healthy workers age 40-69 years; however, green tea consumption was unrelated to serum HDL-cholesterol and triglycerides."" Tokunaga et al (2002). 'Green tea consumption and serum lipids and lipoproteins in a population of healthy workers in Japan.' Ann. Epidemiol. 12/3 157-65. PMID: 11897173.","A study of 240 subjects on a low-fat diet with mild to moderate hypercholesterolemia were randomly assigned to receive a daily capsule containing theaflavin-enriched green tea extract (375 mg) or placebo. After 12 weeks, the total cholesterol and LDL in the tea extract group had significantly lowered and HDL had significantly increased. There were no changes in the placebo group. ""CONCLUSION: The theaflavin-enriched green tea extract we studied is an effective adjunct to a low-saturated-fat diet to reduce LDL-C in hypercholesterolemic adults and is well tolerated."" Maron et al (2003). 'Cholesterol-lowering effect of a theaflavin-enriched green tea extract: a randomized controlled trial.' Arch. Int. Med. 163/12, 1448-53. PMID: 12824094.",,,,#,,,
hawthorn,4,blood pressure,cardio,,plant / herb,0.442,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16149711?dopt=Abstract,,,"Korodin Herz-Kreislauf-Tropfen, a herbal drug containing D-camphor (2.5 %) & fresh hawthorn berries extract (97.3%), was found effective & safe in the treatment of orthostatic hypotension for all age groups (11-102 yrs) in 490 patients & independent of initial blood pressures. [Article in German] Hempel et al (2005). '[Efficacy and safety of a herbal drug containing hawthorn berries and D-camphor in hypotension and orthostatic circulatory disorders/results of a retrospective epidemiologic cohort study].' Arzneimittelforschung 55/8, 443-50. PMID: 16149711.","Administration of a hydroalcoholic extract of Crataegus curvisepala in total of 92 men and women with primary mild hypertension, aged 40-60 years, 3 times daily for more than 4 months showed a decrease in both systolic and diastolic BP after 3 months. Asgary 2004","A placebo controlled, randomised, multicentre trial in 143 patients with cardiac failure NYHA class II, showed the efficacy and safety of a standardised extract of fresh berries of Crataegus oxyacantha L. & monogyna under long term therapy. Degenring 2003","In a randomised, placebo-controlled, double-blind clinical study of Crataegus extract WS 1442, standardised to 18.75% oligomeric procyanidines, on 40 outpatients suffering from congestive heart failure NYHA class II revealed that it was clinically effective, safe and well tolerated. Zapfe jun 2001","Treatment of Crataegus extract WS 1442 in 1,011 patients with cardiac insufficiency stage NYHA II, showed significant improvement in clinical symptoms like reduced performance in the exercise tolerance test, fatigue, palpitation & exercise dyspnea, ankle edema & nocturia by 83%. [Article in German] Tauchert 1999",#,,,
honey,3,coughs in children,"infections, children",,other,9.72,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20091616,,http://www.ncbi.nlm.nih.gov/pubmed/20618098,"""SELECTION CRITERIA: Randomised controlled trials (RCT) comparing honey given alone or in combination with antibiotics versus nothing, placebo or other over-the-counter (OTC) cough medications to participants aged from two to 18 years for acute cough in ambulatory settings. MAIN RESULTS: One RCT of 108 children with upper respiratory tract infections comparing the effect of honey, dextromethorphan and no treatment on cough and sleep quality for coughing children and their parents was included. Comparing symptoms and sleep quality scores of children that received honey with those that received no treatment showed that honey was more effective in reducing frequency of cough and sleep quality of the child; but did not differ significantly between the honey versus no treatment groups in resolving severity of cough and sleep quality of the parents. Dextromethorphan and honey did not differ significantly on cough frequency; cough severity, bothersome cough and sleep quality of the children or their parents. AUTHORS' CONCLUSIONS: We found insufficient evidence to advise for or against the use of honey for acute cough in children."" Uduwole et al (2010). 'Honey for acute cough in children.' Cochrane Database Syst. Rev. CD007094.","""OBJECTIVES: The aim of this study is to compare the effect of honey, DM, and DPH on the nightly cough and sleep quality of children and their parents. DESIGN: This was a clinical trial study in which 139 children aged 24-60 months suffering from coughing due to URIs were selected and assigned randomly to 4 groups. The first group received honey (HG), the second one DM (DMG), the third DPH (DPHG), but the fourth group or control group (CG) was assigned to a supportive treatment. OUTCOME MEASURES: After approximately a 24-hour intervention, the 4 groups were reexamined and their cough frequency, cough severity, and sleep quality in children and their parents were recorded by using the questionnaire with Likert-type questions. CONCLUSIONS: The result of the study demonstrated that receiving a 2.5-mL dose of honey before sleep has a more alleviating effect on URIs-induced cough compared with DM and DPH doses.""","""PARTICIPANTS: One hundred five children aged 2 to 18 years with upper respiratory tract infections, nocturnal symptoms, and illness duration of 7 days or less. INTERVENTION: A single dose of buckwheat honey, honey-flavored dextromethorphan (DM), or no treatment administered 30 minutes prior to bedtime. RESULTS: Significant differences in symptom improvement were detected between treatment groups, with honey consistently scoring the best and no treatment scoring the worst. CONCLUSIONS: In a comparison of honey, DM, and no treatment, parents rated honey most favorably for symptomatic relief of their child's nocturnal cough and sleep difficulty due to upper respiratory tract infection. Honey may be a preferable treatment for the cough and sleep difficulty associated with childhood upper respiratory tract infection."" http://www.ncbi.nlm.nih.gov/pubmed/18056558",,,,,,
